country_origin_code,total
US,2428596
ZL,1212650
CN,702329
MX,279667
CR,186656
CO,186250
ES,142833
DE,127758
KR,93259
JP,88639
IT,81963
GT,77362
IN,69771
TR,67544
BR,60487
FR,54255
PT,50607
PA,49569
MA,46788
BD,42427
VE,41433
TW,39540
TH,39090
SV,38565
CA,30419
VN,28100
GB,27499
BE,26225
AR,24548
NL,22532
HK,22177
PE,20279
CL,19454
KH,18927
PK,17012
ID,14662
EC,12510
CH,10716
NI,10330
:,10300
DO,9300
SE,7928
MY,7697
HN,7516
PL,6867
DK,6545
RO,6296
EG,6143
AT,5910
ZA,5253
IL,4451
IE,4249
SW,4135
PR,4078
BG,3864
AU,3690
MM,3552
HU,3507
GR,3161
SG,3088
LK,3074
CZ,2966
AE,2879
TN,2851
UY,2644
CS,2387
TT,2339
PH,2037
RU,1838
SK,1762
NZ,1552
FI,1446
SI,1309
KP,1107
MG,1036
NO,987
UK,973
LT,969
AL,667
GY,654
PY,564
SU,537
UA,533
RS,521
AC,447
JM,428
CU,402
BZ,392
EE,363
MD,346
BO,343
LU,289
BB,278
LV,245
JO,232
CW,224
LB,215
SA,212
SR,202
BS,169
MU,162
UM,161
IS,156
BA,152
DM,149
UN,147
HR,133
TS,126
CY,124
TM,114
MK,112
QA,105
VG,105
MT,104
AW,103
LA,97
HT,79
MC,76
GE,65
CM,64
OM,60
ZM,59
BY,55
UE,54
TZ,51
CG,51
RE,50
NG,48
SZ,46
TC,44
KY,43
SN,37
KE,37
CI,36
GH,35
FJ,32
IR,31
NC,30
VI,29
GU,27
VA,27
BH,26
GI,25
YT,23
ZW,20
BM,19
NU,19
SL,18
NP,18
SX,18
NR,18
BN,18
MO,15
AM,14
ET,13
KN,13
MQ,13
OA,13
DZ,12
ME,12
ZR,12
YU,12
MW,11
IB,11
KW,11
MN,11
MR,11
TG,11
TK,10
CV,10
LI,10
GA,10
VC,9
TJ,9
KZ,9
DJ,9
MZ,9
WS,9
KM,8
JH,8
PF,8
YD,8
RA,8
CC,8
PG,8
BU,8
AN,8
KG,7
GM,7
GP,7
UZ,7
LO,7
ER,6
UG,6
PI,6
AI,6
GD,6
SD,5
TP,5
CD,5
BL,5
AF,5
LC,5
LS,5
CF,5
VU,4
AO,4
AS,4
ST,4
ML,3
SM,3
MV,3
RW,3
HM,3
GS,3
NE,3
IO,3
OI,3
MH,3
BW,3
AZ,3
SH,3
GQ,2
PM,2
BT,2
TO,2
TV,2
IF,2
AG,2
SY,2
SO,2
BF,2
CX,2
GF,1
NT,1
GW,1
AQ,1
EH,1
BJ,1
MS,1
SJ,1
GL,1
KI,1
RC,1
FO,1
FX,1
LR,1
GN,1
WF,1
NF,1
BV,1
